species;plastome;ITS;matK;ndhF;rbcL;atpB.rbcL;ndhA_intron;rpl16_intron;rpl32.trnL;rps16_intron;trnL.F
Andrographis echioides;NA;NA;MK558853;NA;KP455302;NA;NA;NA;NA;NA;NA
Andrographis glandulosa;NA;NA;KP455309;NA;KP455303;NA;NA;NA;NA;NA;NA
Andrographis lawsonii;NA;NA;MH428005;NA;MH428004;NA;NA;NA;NA;NA;NA
Andrographis lineata;NA;NA;KP455310;NA;KP455304;NA;NA;NA;NA;NA;NA
Andrographis lobelioides;NA;NA;MH423499;NA;MH388772;NA;NA;NA;NA;NA;NA
Andrographis nallamalayana;NA;NA;KP455311;NA;KM016998;NA;NA;NA;NA;NA;NA
Andrographis paniculata;KF150644;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anemopaegma acutifolium;NC_037226;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anemopaegma album;NC_037227;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anemopaegma arvense;NC_037228;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anemopaegma chamberlaynii;NC_037229;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anemopaegma floridum;NA;NA;NA;DQ222534;NA;NA;NA;NA;NA;NA;NA
Anemopaegma foetidum;NC_037230;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anemopaegma laeve;NA;NA;NA;DQ222536;NA;NA;NA;NA;NA;NA;NA
Anemopaegma oligoneuron;NC_037232;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anemopaegma parkeri;NA;NA;NA;FJ887851;NA;NA;NA;NA;NA;NA;FJ870015
Anemopaegma prostratum;MK415799;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anemopaegma robustum;NA;NA;NA;DQ222538;NA;NA;NA;NA;KC914598;NA;NA
Anetanthus gracilis;NA;KY858253;NA;AF176624;NA;NA;NA;NA;NA;NA;NA
Angelonia cornigera;NA;KM281691;NA;NA;NA;NA;NA;MH129670;NA;MH129622;MH129718
Angelonia crassifolia;NA;NA;NA;NA;NA;NA;NA;MH129671;NA;MH129623;MH129719
Angelonia eriostachys;NA;KM281692;NA;NA;NA;NA;NA;MH129672;NA;MH129624;KM281681
Angelonia goyazensis;NA;NA;NA;NA;NA;NA;NA;MH129673;NA;MH129625;MH129721
Angelonia procumbens;NA;KM281696;NA;NA;NA;NA;NA;NA;NA;NA;KM281683
Angelonia pubescens;NA;NA;NA;AF123675;NA;NA;NA;NA;NA;AJ609214;AJ608618
Angelonia tomentosa;NA;NA;NA;NA;NA;NA;NA;MH129674;NA;MH129626;MH129722
Angkalanthus oligophylla;NA;EU087478;NA;NA;NA;NA;NA;NA;NA;EU087533;EU087567
Anisacanthus boliviensis;NA;EU087456;NA;NA;NA;NA;KY632397;NA;NA;EU087508;EU087551
Anisacanthus brasiliensis;NA;EU087457;NA;NA;NA;NA;NA;NA;NA;EU087509;EU087552
Anisacanthus linearis;NA;EU087431;NA;NA;NA;NA;NA;NA;NA;EU087482;EU087538
Anisacanthus malmei;NA;MF768397;NA;NA;NA;NA;NA;NA;NA;MF678415;MF768344
Anisacanthus nicaraguensis;NA;MF768386;NA;NA;NA;NA;NA;NA;NA;MF678384;NA
Anisacanthus puberulus;NA;AF289778;NA;NA;NA;NA;NA;NA;NA;MF678413;NA
Anisacanthus quadrifidus;NA;EU087430;NA;NA;NA;NA;NA;NA;NA;MF678412;NA
Anisacanthus ramosissimus;NA;NA;NA;NA;NA;NA;NA;NA;NA;KJ535238;KJ535270
Anisacanthus secundus;NA;MF768398;NA;NA;NA;NA;NA;NA;NA;MF678379;MF768345
Anisacanthus tetracaulis;NA;EU087449;NA;NA;NA;NA;NA;NA;NA;EU087499;NA
Anisacanthus thurberi;NA;MF768375;NA;NA;NA;NA;NA;NA;NA;EU087483;AF063122
Anisochilus pallidus;NA;NA;NA;NA;JQ933218;NA;NA;NA;NA;AJ505331;NA
Anisomeles heyneana;NA;NA;HQ911394;NA;NA;NA;NA;NA;NA;NA;NA
Anisomeles indica;MN115836;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anisomeles malabarica;NA;MH456886;HQ911396;NA;KF381095;NA;NA;NA;NA;FJ854013;FJ854260
Anisosepalum alboviolaceum;NA;JQ691812;NA;NA;NA;NA;NA;EU315826;JQ764595;EU315785;NA
Anisosepalum lewallei;NA;JQ691813;NA;JQ712668;NA;NA;NA;NA;JQ764596;NA;JQ728995
Anisotes bracteatus;NA;NA;NA;NA;NA;NA;KY632378;NA;NA;NA;NA
Anisotes nyassae;NA;KY632569;NA;NA;NA;NA;KY632379;NA;NA;NA;NA
Anisotes tanensis;NA;KY632571;NA;NA;NA;NA;KY632381;NA;NA;NA;NA
Anisotes ukambensis;NA;KY632570;NA;NA;NA;NA;KY632380;NA;NA;NA;NA
Anna mollifolia;NA;KY288030;NA;U62188;NA;NA;NA;NA;NA;NA;FJ501543
Anna ophiorrhizoides;NA;HQ633034;NA;NA;NA;NA;NA;NA;NA;NA;HQ632937
Anna submontana;NA;FJ501362;NA;NA;NA;FJ501422;NA;NA;NA;NA;FJ501542
Antherothamnus pearsonii;NA;AJ550575;NA;AJ401392;NA;NA;NA;NA;NA;AJ609213;AJ296509
Anticharis glandulosa;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Antirrhinum australe;NA;EU677195;NA;KT187752;NA;NA;NA;NA;KM104745;NA;NA
Antirrhinum barrelieri;NA;AY731272;NA;KT187756;NA;NA;NA;NA;NA;NA;NA
Antirrhinum braun-blanquetii;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Antirrhinum charidemi;NA;AY731282;NA;KT187754;NA;NA;NA;NA;NA;NA;NA
Antirrhinum graniticum;NA;AY731283;NA;KT187757;NA;NA;NA;NA;JF694120;NA;NA
Antirrhinum grosii;NA;FJ897728;NA;KT187758;NA;NA;NA;NA;NA;NA;NA
Antirrhinum hispanicum;NA;AY731286;NA;KT187759;NA;NA;NA;NA;NA;NA;NA
Antirrhinum latifolium;NA;AY731274;NA;KT187760;NA;NA;NA;NA;NA;NA;NA
Antirrhinum majus;GQ996968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Antirrhinum meonanthum;NA;AF513887;NA;KT187763;NA;NA;NA;NA;NA;NA;NA
Antirrhinum microphyllum;NA;AY731267;NA;KT187764;NA;NA;NA;NA;NA;NA;NA
Antirrhinum molle;NA;AY880239;NA;KT187765;NA;NA;NA;NA;NA;NA;NA
Antirrhinum pertegasii;NA;EU677227;NA;KT187767;NA;NA;NA;NA;NA;NA;NA
Antirrhinum pulverulentum;NA;AY731279;NA;KT187768;NA;NA;NA;NA;NA;NA;NA
Antirrhinum rothmaleri;NA;MK095635;NA;MK095673;NA;NA;NA;NA;NA;NA;NA
Antirrhinum sempervirens;NA;AY731270;NA;KT187769;NA;NA;NA;NA;NA;NA;NA
Antirrhinum siculum;NA;FJ648327;MH748923;KT187770;MH749066;NA;NA;NA;NA;NA;AY316710
Antirrhinum subbaeticum;NA;EU677239;NA;MK095674;NA;NA;NA;NA;NA;NA;NA
Antirrhinum valentinum;NA;EU677244;NA;KT187772;NA;NA;NA;NA;NA;NA;NA
Antirrhinum vexillocalyculatum;NA;KT187749;NA;KT187847;NA;NA;NA;NA;NA;NA;NA
Apassalus humistratus;NA;FJ605238;KJ772742;NA;KJ773467;NA;NA;NA;KR230937;NA;NA
Aphanosperma sinaloensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;EU087503;EU087550
Aphelandra arborea;NA;DQ028458;NA;NA;NA;NA;NA;NA;NA;DQ059206;DQ054900
Aphelandra boyacensis;NA;AF169759;NA;NA;NA;NA;NA;NA;NA;DQ059196;AF061828
Aphelandra campanensis;NA;AF169760;NA;NA;NA;NA;NA;NA;NA;NA;AF061829
Aphelandra castanifolia;NA;DQ028447;NA;NA;NA;NA;NA;NA;NA;DQ059197;DQ054891
Aphelandra dolichantha;NA;NA;NA;NA;NA;NA;NA;NA;NA;DQ059195;AF063111
Aphelandra fasciculata;NA;DQ028454;NA;NA;NA;NA;NA;NA;NA;NA;DQ054898
Aphelandra fernandezii;NA;DQ028455;NA;NA;NA;NA;NA;NA;NA;DQ059203;NA
Aphelandra gigantiflora;NA;DQ028460;NA;NA;NA;NA;NA;NA;NA;DQ059207;DQ054901
Aphelandra golfodulcensis;NA;DQ028456;NA;NA;NA;NA;NA;NA;NA;DQ059204;NA
Aphelandra guerrerensis;NA;DQ028461;NA;NA;NA;NA;NA;NA;NA;NA;DQ054902
Aphelandra hylaea;NA;DQ028452;NA;NA;NA;NA;NA;NA;NA;DQ059202;DQ054897
Aphelandra knappiae;MH909777;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aphelandra lasia;NA;DQ028457;NA;NA;NA;NA;NA;NA;NA;NA;DQ054899
Aphelandra leonardii;NA;AF169761;NA;JQ712669;NA;NA;NA;NA;NA;DQ059205;AF063112
Aphelandra maculata;NA;DQ028451;NA;NA;NA;NA;NA;NA;NA;DQ059201;DQ054896
Aphelandra maximiliana;NA;DQ028466;NA;NA;NA;NA;NA;NA;NA;DQ059213;DQ054906
Aphelandra rubra;NA;DQ028448;NA;NA;NA;NA;NA;NA;NA;DQ059198;DQ054892
Aphelandra runcinata;NA;DQ028449;NA;NA;NA;NA;NA;NA;NA;DQ059199;DQ054893
Aphelandra speciosa;NA;DQ028462;NA;NA;NA;NA;NA;NA;NA;DQ059208;NA
Aphelandra squarrosa;NA;DQ028450;NA;AJ249405;KX783826;NA;NA;NA;NA;DQ059200;DQ054894
Aphelandra tonduzii;NA;DQ028445;NA;NA;NA;NA;NA;NA;NA;DQ059194;DQ054890
Aphelandra tridentata;NA;DQ028463;NA;NA;NA;NA;NA;NA;NA;DQ059209;NA
Aphyllon arizonicum;NA;NA;NA;NA;MG954026;NA;NA;NA;NA;NA;NA
Aphyllon californicum;NA;NA;NA;NA;MG954028;NA;NA;NA;NA;NA;NA
Aphyllon multiflorum;NA;NA;NA;NA;MG954034;NA;NA;NA;NA;NA;NA
Aphyllon riparium;NA;NA;NA;NA;MG954036;NA;NA;NA;NA;NA;NA
Aphyllon uniflorum;NA;NA;NA;NA;MG954056;NA;NA;NA;NA;NA;NA
Aphyllon validum;NA;NA;NA;NA;MG954038;NA;NA;NA;NA;NA;NA
Aptosimum indivisum;NA;NA;NA;AJ617594;NA;NA;NA;AY712613;NA;NA;AY712652
Aptosimum procumbens;NA;NA;NA;NA;NA;NA;NA;AY712612;NA;NA;AY712651
Aragoa abietina;NA;AJ459404;NA;NA;AJ459242;MG428475;NA;NA;NA;AY492194;NA
Aragoa cleefii;NA;NA;NA;NA;AJ459247;NA;NA;NA;NA;NA;NA
Aragoa cundinamarcensis;NA;AJ459403;NA;NA;AJ459246;MG428476;NA;NA;NA;MG428424;NA
Aragoa cupressina;NA;AJ459402;NA;NA;AJ459245;NA;NA;NA;NA;NA;NA
Argylia bustillosii;NA;NA;NA;FJ887852;NA;NA;NA;NA;NA;NA;FJ870016
Argylia robusta;NA;NA;NA;FJ887853;NA;NA;NA;NA;NA;NA;FJ870017
Artanema fimbriatum;NA;NA;AY667460;NA;NA;NA;NA;NA;NA;NA;NA
Artanema longifolium;NA;NA;KF257403;NA;NA;NA;NA;NA;NA;KF257676;KF257780
Asarina procumbens;NA;AY880236;NA;AJ250380;NA;NA;NA;NA;KP851129;NA;AY316705
Asclepias syriaca;KF386166;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Asteranthera ovata;NA;EF445669;NA;U62204;NA;FJ501371;NA;NA;NA;NA;FJ501427
Asterohyptis seemannii;NA;JF301438;JF357870;NA;NA;NA;NA;NA;NA;NA;JF357759
Asystasia gangetica;NA;KP744316;GU135009;NA;GU135172;NA;NA;NA;NA;KP744187;KP744151
Asystasia mysorensis;NA;NA;MK294421;NA;MK285106;NA;NA;NA;NA;NA;MK261517
Asystasia travancorica;NA;NA;NA;NA;JQ933229;NA;NA;NA;NA;NA;NA
Asystasiella neesiana;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Atropa belladonna;AJ316582;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aureolaria flava;NA;MG217505;KJ772569;NA;KJ773297;NA;NA;NA;NA;NA;NA
Aureolaria grandiflora;NA;NA;MK519688;NA;MK525265;NA;NA;NA;NA;NA;NA
Aureolaria laevigata;NA;NA;KP642849;NA;KP643718;NA;NA;NA;NA;NA;NA
Aureolaria pectinata;NA;EU827878;NA;NA;NA;NA;NA;NA;NA;NA;EU828207
Aureolaria pedicularia;NA;EU827879;AY563920;AY563926;AY563940;NA;NA;NA;NA;NA;EU828208
Aureolaria virginica;NA;NA;KP643157;NA;KP644089;NA;NA;NA;NA;NA;NA
Avicennia bicolor;NA;AF365977;JQ589418;NA;AY008829;NA;NA;EU315827;NA;EU315786;AY008818
Avicennia germinans;NA;AF365979;AF531771;JN686621;AY008830;NA;NA;EU315828;NA;JN686517;AY008819
Avicennia marina;MT108381;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Avicennia officinalis;NA;MH243946;KF848319;NA;KJ784626;NA;NA;NA;NA;NA;NA
Bacopa aquatica;NA;NA;NA;NA;NA;NA;NA;MH129675;NA;MH129627;NA
Bacopa arenaria;NA;NA;NA;NA;NA;NA;NA;MH129676;NA;MH129628;MH129724
Bacopa caroliniana;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bacopa eisenii;NA;EF467894;EF467900;EF467911;EF467906;NA;NA;NA;NA;NA;EF467888
Bacopa floribunda;NA;LC214990;LC214992;NA;LC214993;NA;NA;NA;NA;NA;LC310978
Bacopa lanigera;NA;NA;NA;NA;NA;NA;NA;MH129677;NA;MH129629;MH129725
Bacopa monnieri;MN736955;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bacopa monnierioides;NA;NA;JQ588673;NA;JQ593267;NA;NA;NA;NA;NA;NA
Bacopa myriophylloides;NA;NA;NA;NA;NA;NA;NA;MH129678;NA;MH129630;MH129726
Bacopa repens;NA;EF467893;EF467899;EF467910;EF467905;NA;NA;NA;NA;NA;EF467887
Bacopa salzmannii;NA;NA;NA;NA;NA;NA;NA;MH129679;NA;MH129631;MH129727
Bacopa stricta;NA;NA;NA;NA;NA;NA;NA;MH129680;NA;MH129632;MH129728
Baillonia amabilis;NA;NA;HM853880;HM216691;HM853912;NA;NA;NA;NA;NA;HM216595
Ballota acetabulosa;NA;MH684926;HQ911495;NA;NA;NA;NA;NA;MH701792;EU138296;MH685049
Ballota africana;NA;MH684927;HQ911493;NA;AM234997;NA;NA;NA;MH701793;FJ854014;MH685050
Ballota aucheri;NA;MH684928;HQ911494;NA;NA;NA;NA;NA;MH701794;FJ854015;MH685051
Ballota bullata;NA;MH684929;NA;NA;NA;NA;NA;NA;MH701795;MH684988;MH685052
Ballota damascena;NA;MH684930;NA;NA;NA;NA;NA;NA;MH701796;MH684989;MH685053
Ballota hirsuta;NA;JN680359;NA;NA;NA;NA;NA;NA;JN680415;MH684992;MH685056
Ballota hispanica;NA;AF335641;NA;NA;NA;NA;NA;NA;MH701803;MH684996;MH685061
Ballota inaequidens;NA;MH684939;NA;NA;NA;NA;NA;NA;MH701804;MH684998;MH685062
Ballota latibracteolata;NA;MH684940;NA;NA;NA;NA;NA;NA;MH701805;MH684999;MH685063
Ballota macedonica;NA;MH684941;NA;NA;NA;NA;NA;NA;MH701806;MH685000;MH685064
Ballota nigra;NA;MH684944;NA;NA;KM360663;NA;NA;NA;NA;NA;NA
Ballota pseudodictamnus;NA;MH684947;HQ911496;NA;NA;NA;NA;NA;MH701812;EU138295;MH685073
Ballota rotundifolia;NA;MH684948;NA;NA;NA;NA;NA;NA;MH701813;MH685009;MH685074
Ballota undulata;NA;MH684949;HQ911492;NA;KX709608;NA;NA;NA;MH701814;FJ854018;MH685075
Barleria acanthoides;NA;MK066127;NA;NA;NA;NA;NA;NA;MK089855;NA;NA
Barleria acuminata;NA;NA;KR337262;NA;KR337263;NA;NA;NA;NA;NA;NA
Barleria argentea;NA;MK066128;NA;NA;NA;NA;NA;NA;MK089856;NA;NA
Barleria argillicola;NA;MK066129;NA;NA;NA;NA;NA;NA;MK089857;NA;NA
Barleria aristata;NA;MK079656;NA;NA;NA;NA;NA;NA;MK089858;NA;NA
Barleria baluganii;NA;MK066131;NA;NA;NA;NA;NA;NA;MK089860;NA;NA
Barleria bispinosa;NA;KJ819940;NA;NA;NA;NA;NA;NA;MK089861;NA;NA
Barleria boehmii;NA;MK066133;NA;NA;NA;NA;NA;NA;MK089862;NA;NA
Barleria bremekampii;NA;MK066135;NA;NA;NA;NA;NA;NA;MK089864;NA;NA
Barleria cristata;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Barleria cuspidata;NA;NA;KF890175;NA;KF890169;NA;NA;NA;NA;NA;NA
Barleria eranthemoides;NA;NA;KR734936;NA;KR737209;NA;NA;NA;NA;NA;MK261489
Barleria gibsonii;NA;MK066151;NA;NA;NA;NA;NA;NA;MK089882;NA;NA
Barleria grandipetala;NA;MK066138;NA;NA;NA;NA;NA;NA;MK089869;NA;NA
Barleria grandis;NA;MK066139;NA;NA;NA;NA;NA;NA;MK089870;NA;NA
Barleria grootbergensis;NA;MK066140;NA;NA;NA;NA;NA;NA;MK089871;NA;NA
Barleria heterotricha;NA;MK066141;NA;NA;NA;NA;NA;NA;MK089872;NA;NA
Barleria kaloxytona;NA;MK066144;NA;NA;NA;NA;NA;NA;MK089875;NA;NA
Barleria kitchingii;NA;MK066145;NA;NA;NA;NA;NA;NA;MK089876;NA;NA
Barleria lancifolia;NA;MK066146;NA;NA;NA;NA;NA;NA;MK089877;NA;NA
Barleria leandrii;NA;MK066147;NA;NA;NA;NA;NA;NA;MK089878;NA;NA
Barleria longiflora;NA;NA;KR861702;NA;KR861703;NA;NA;NA;NA;NA;NA
Barleria lupulina;NA;AF169751;NA;JQ712671;NA;NA;NA;NA;MK089881;EU529010;AF289758
Barleria maclaudii;NA;MK066152;NA;NA;NA;NA;NA;NA;MK089883;NA;NA
Barleria meeuseana;NA;MK066153;NA;NA;NA;NA;NA;NA;MK089899;NA;NA
Barleria merxmuelleri;NA;MK066163;NA;NA;NA;NA;NA;NA;MK089900;NA;NA
Barleria meyeriana;NA;MK066154;NA;NA;NA;NA;NA;NA;MK089885;NA;NA
Barleria mutabilis;NA;MK066136;NA;NA;NA;NA;NA;NA;MK089867;NA;NA
Barleria nitida;NA;MK066155;NA;NA;NA;NA;NA;NA;MK089887;NA;NA
Barleria obtusa;NA;KT345486;NA;NA;NA;NA;NA;NA;MK089888;KT345459;KT345435
Barleria oenotheroides;NA;KT345497;JQ586383;NA;JQ590032;NA;NA;NA;NA;KT345438;AF063116
Barleria ovata;NA;KT345485;NA;NA;NA;NA;NA;NA;MK089891;KT345436;KT345418
Barleria parvispina;NA;MK066158;NA;NA;NA;NA;NA;NA;MK089892;NA;NA
Barleria prattensis;NA;NA;KF890173;NA;KF890171;NA;NA;NA;NA;NA;NA
Barleria prionitis;NA;MK066159;KF890176;U12653;L01886;NA;NA;NA;MK089894;NA;AF063118
Barleria pseudosomalia;NA;MK066160;NA;NA;NA;NA;NA;NA;MK089895;NA;NA
Barleria puberula;NA;MK066148;NA;NA;NA;NA;NA;NA;MK089880;NA;NA
Barleria quadrispina;NA;MK066161;NA;NA;NA;NA;NA;NA;MK089896;NA;NA
Barleria ramulosa;NA;NA;KR734783;NA;KR736430;NA;NA;NA;NA;NA;KR737621
Barleria repens;NA;AF169750;NA;NA;NA;NA;NA;NA;NA;EU529011;EU528915
Barleria rotundifolia;NA;NA;JF270654;NA;JF265300;NA;NA;NA;NA;NA;NA
Barleria spinisepala;NA;NA;KR734991;NA;KR737454;NA;NA;NA;NA;NA;KR738687
Barleria strigosa;NA;MK066165;NA;NA;NA;NA;NA;NA;MK089902;NA;NA
Barleria taitensis;NA;MK066167;NA;NA;NA;NA;NA;NA;MK089904;NA;NA
Barleria trispinosa;NA;KJ819941;KR734533;NA;KR736632;NA;NA;NA;MK089905;NA;KR737692
Barleria ventricosa;NA;MK066169;NA;NA;NA;NA;NA;NA;MK089906;NA;NA
Barleria volkensii;NA;NA;KR734933;NA;KR737205;NA;NA;NA;NA;NA;KR738373
Barleria wilmsiana;NA;MK066171;NA;NA;NA;NA;NA;NA;MK089909;NA;NA
Barthlottia madagascariensis;NA;AJ550576;FN773531;AJ401438;NA;NA;NA;NA;NA;FN794080;AJ401444
Bartsia alpina;NA;MF444632;AY849600;AF123678;KU235112;NA;NA;EU259213;NA;JF900538;KM434119
Basilicum polystachyon;NA;NA;KX526665;NA;KX527360;NA;NA;NA;NA;AJ505332;AJ505439
Basistemon klugii;NA;NA;NA;NA;NA;NA;NA;NA;NA;AJ609209;AJ608616
Basistemon peruvianus;NA;KM281701;NA;NA;NA;NA;NA;NA;NA;NA;KM281685
Basistemon silvaticus;NA;AY492096;NA;NA;NA;NA;NA;NA;NA;AY492197;AY492171
Basistemon spinosus;NA;KM281703;NA;NA;NA;NA;NA;NA;NA;NA;KM371013
Beccarinda tonkinensis;NA;KJ475423;KJ137886;NA;KX527342;NA;NA;NA;NA;NA;KM232644
Bellardia trixago;NA;MF444633;JX091310;NA;KU235114;NA;NA;NA;NA;KX958867;KM434100
Bellardia viscosa;NA;KX958622;KX959119;NA;KM360915;NA;NA;NA;NA;KX958871;KM434095
Besleria angustiflora;NA;EF445702;NA;NA;NA;NA;NA;NA;NA;NA;EF445753
Besleria divaricata;NA;KY858256;KY858648;NA;NA;NA;NA;NA;NA;KY858505;EF445754
Besleria filipes;NA;EF445704;NA;NA;NA;NA;NA;NA;NA;NA;EF445755
Besleria formicaria;NA;DQ070487;NA;NA;NA;NA;NA;NA;NA;NA;EF445756
Besleria gracilenta;NA;DQ070489;NA;NA;NA;NA;NA;NA;NA;NA;GQ166798
Besleria labiosa;NA;AY047041;NA;NA;NA;AY423110;NA;NA;NA;NA;AY423128
Besleria macahensis;NA;KY858257;KY858649;NA;NA;NA;NA;NA;NA;KY858506;NA
Besleria melancholica;NA;GQ344505;JX195952;NA;NA;AJ490923;NA;GQ383630;NA;GQ383580;AJ492310
Besleria notabilis;NA;KY858259;JX195953;NA;NA;NA;NA;NA;NA;JX195809;JX195725
Besleria ovalifolia;NA;DQ070495;NA;NA;NA;NA;NA;NA;NA;NA;GQ166799
Besleria racemosa;NA;KY858254;KY858647;NA;NA;NA;NA;NA;NA;KY858503;KY858574
Besleria robusta;NA;NA;JQ587959;NA;JQ592153;NA;NA;NA;NA;NA;NA
Besleria sprucei;NA;NA;KR270488;NA;KR082836;NA;NA;NA;NA;NA;NA
Besleria trichiata;NA;KY858261;NA;NA;NA;NA;NA;NA;NA;KY858508;KY858577
Besleria trichostegia;NA;NA;JQ587960;NA;JQ592156;NA;NA;NA;NA;NA;NA
Besleria variabilis;NA;KY858262;NA;NA;NA;NA;NA;NA;NA;NA;GQ166800
Betonica macrantha;NA;JQ730031;HQ911447;NA;NA;NA;NA;NA;NA;FJ854019;FJ854266
Bignonia callistegioides;NA;NA;NA;FJ887854;NA;NA;NA;NA;NA;NA;NA
Bignonia capreolata;NA;KY584363;HQ384518;DQ222566;HQ384884;NA;NA;NA;NA;HQ385160;NA
Bignonia corymbosa;NA;NA;MG749192;MG749408;NA;NA;NA;NA;NA;NA;NA
Bignonia microcalyx;NA;NA;NA;DQ222629;NA;NA;NA;NA;NA;NA;NA
Billolivia longipetiolata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;KU985108
Billolivia violacea;NA;KU985115;NA;NA;NA;NA;NA;NA;NA;NA;KU985111
Blechum linnaei;NA;MG649881;JQ586400;NA;JQ590055;NA;MG649601;MG649671;NA;NA;NA
Blechum pyramidatum;NA;EU812549;GU135004;NA;GU135168;NA;NA;NA;NA;NA;NA
Blepharis acuminata;NA;KM034006;NA;NA;NA;NA;NA;NA;KM033948;DQ059151;DQ054858
Blepharis aspera;NA;KM034007;NA;NA;NA;NA;NA;NA;KM033949;NA;NA
Blepharis asteracantha;NA;NA;NA;NA;NA;NA;NA;NA;KM033950;DQ059152;NA
Blepharis attenuata;NA;KM034009;NA;NA;NA;NA;NA;NA;KM033951;NA;NA
Blepharis boranensis;NA;KM034010;NA;NA;NA;NA;NA;NA;KM033952;NA;NA
Blepharis buchneri;NA;KM034011;NA;NA;NA;NA;NA;NA;KM033953;DQ059153;NA
Blepharis calcitrapa;NA;DQ028422;NA;NA;NA;NA;NA;NA;KM033954;DQ059154;NA
Blepharis ciliaris;NA;KM034012;KU757322;NA;KU757323;NA;NA;NA;KM033955;NA;NA
Blepharis diversispina;NA;KM034015;NA;NA;NA;NA;NA;NA;KM033959;NA;DQ054865
Blepharis edulis;NA;DQ028418;NA;NA;NA;NA;NA;NA;KM033961;DQ059156;NA
Blepharis espinosa;NA;KM034016;NA;NA;NA;NA;NA;NA;KM033962;NA;NA
Blepharis furcata;NA;KM034017;NA;NA;NA;NA;NA;NA;KM033963;NA;NA
Blepharis gigantea;NA;KM034018;NA;NA;NA;NA;NA;NA;KM033964;NA;NA
Blepharis glinus;NA;KM034019;NA;NA;NA;NA;NA;NA;KM033965;NA;NA
Blepharis grossa;NA;KM034020;NA;NA;NA;NA;NA;NA;KM033966;NA;NA
Blepharis integrifolia;NA;KM034021;NA;NA;NA;NA;NA;NA;KM033968;DQ059157;NA
Blepharis katangensis;NA;NA;NA;NA;NA;NA;NA;NA;KM033969;DQ059159;NA
Blepharis kuriensis;NA;KM034022;NA;NA;NA;NA;NA;NA;KM033970;NA;NA
Blepharis linariifolia;NA;KM034023;NA;NA;NA;NA;NA;NA;KM033971;NA;NA
Blepharis macra;NA;KM034024;NA;NA;NA;NA;NA;NA;KM033972;NA;NA
Blepharis maderaspatensis;NA;DQ028423;KR734562;NA;KR736929;NA;NA;NA;KM033973;DQ059160;NA
Blepharis mitrata;NA;KM034025;NA;NA;NA;NA;NA;NA;KM033974;NA;NA
Blepharis natalensis;NA;DQ028420;NA;NA;NA;NA;NA;NA;KM033975;DQ059162;DQ054862
Blepharis noli-me-tangere;NA;KM034026;NA;NA;NA;NA;NA;NA;KM033976;NA;NA
Blepharis obmitrata;NA;KM034027;NA;NA;NA;NA;NA;NA;KM033977;NA;NA
Blepharis pruinosa;NA;KM034028;NA;NA;NA;NA;NA;NA;KM033978;NA;NA
Blepharis sinuata;NA;DQ028419;NA;NA;NA;NA;NA;NA;KM033980;DQ059163;DQ054863
Blepharis subvolubilis;NA;DQ028417;NA;NA;NA;NA;NA;NA;KM033981;DQ059164;DQ054864
Blepharis tenuiramea;NA;KM034030;NA;NA;NA;NA;NA;NA;KM033982;DQ059165;NA
Blepharis trispina;NA;KM034031;NA;NA;NA;NA;NA;NA;KM033983;DQ059166;NA
Blephilia ciliata;NA;MK355995;MK519707;NA;MK525300;NA;NA;NA;NA;NA;GU381580
Blephilia hirsuta;NA;JQ669077;MK519708;NA;MG223742;NA;NA;NA;JQ669276;NA;AY506605
Boea hygrometrica;JN107811;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Boea minutiflora;NA;HQ632957;NA;NA;NA;NA;NA;NA;NA;NA;HQ632865
Boea philippensis;NA;KU203786;NA;NA;NA;NA;NA;NA;NA;NA;KU203880
Boeica ferruginea;NA;NA;NA;NA;KX527500;FJ501379;NA;NA;NA;NA;FJ501440
Boeica multinervia;NA;HQ632951;NA;NA;NA;NA;NA;NA;NA;NA;HQ632861
Bontia daphnoides;NA;NA;KJ012473;AJ617613;NA;NA;NA;NA;NA;AJ609219;AJ608614
Borago officinalis;KT738106;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
